"","year","Canada","Trinidad & Tobago","Venezuela","Central America","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czech Republic","Denmark","Mexico","Estonia","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Latvia","US","Lithuania","Luxembourg","Netherlands","North Macedonia","Norway","Poland","Portugal","Romania","Slovakia","Slovenia","Argentina","Spain","Sweden","Switzerland","Turkey","Ukraine","United Kingdom","Azerbaijan","Belarus","Kazakhstan","Russian Federation","Brazil","Turkmenistan","USSR","Uzbekistan","Iran","Iraq","Israel","Kuwait","Oman","Qatar","Saudi Arabia","Chile","United Arab Emirates","Algeria","Egypt","Morocco","South Africa","Eastern Africa","Middle Africa","Western Africa","Australia","Bangladesh","Colombia","China","China Hong Kong SAR","India","Indonesia","Japan","Malaysia","New Zealand","Pakistan","Philippines","Singapore","Ecuador","South Korea","Sri Lanka","Taiwan","Thailand","Vietnam","Peru"
"1","1965",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","1966",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","1967",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","1968",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","1969",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","1970",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","1971",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","1972",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","1973",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","1974",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
