Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,6.769,6.914,8.7,9.133,7.823,7.004,6.802
Albania,62.144,70.391,71.992,73.716,73.187,71.782,71.046
Algeria,9.332,7.601,7.673,8.747,20.44,27.455,32.881
Angola,26.691,33.149,39.81,57.093,75.253,64.985,80.524
Antigua and Barbuda,86.666,94.869,102.092,98.224,86.215,86.823,62.704
Argentina,38.949,41.689,43.587,55.079,54.955,57.576,62.704
Aruba,67.62,74.045,81.586,81.326,84.677,86.042,86.645
Australia,27.773,30.726,34.148,37.836,40.632,40.807,40.513
Austria,81.611,81.011,83.799,84.346,83.556,78.55,74.237
Azerbaijan,13.75,12.646,14.393,34.994,50.711,54.084,48.35
The Bahamas,37.589,43.933,47.813,49.56,50.482,54.582,54.493
Bahrain,36.213,43.945,44.397,66.02,81.35,88.504,88.417
Bangladesh,36.221,35.82,35.273,33.681,33.331,33.098,33.36
Barbados,123.672,135.161,139.174,146.697,149.122,157.33,123.622
Belarus,36.946,36.859,38.791,53.007,53.482,53.437,55.923
Belgium,104.334,105.452,107.015,106.099,106.03,103.423,101.195
Belize,78.627,78.916,77.347,80.701,95.867,99.023,97.509
Benin,26.705,25.288,30.452,42.425,49.678,54.552,56.809
Bhutan,76.264,100.329,96.234,95.675,114.2,106.313,102.72
Bolivia,35.394,36.097,37.016,39.797,44.864,48.963,50.648
Bosnia and Herzegovina,43.45,44.582,45.038,45.531,44.081,39.459,38.289
Botswana,19.154,17.396,17.346,17.19,15.604,14.037,13.194
Brazil,62.187,60.197,62.307,72.547,78.43,83.973,88.443
Brunei Darussalam,2.101,2.209,3.231,2.953,3.005,2.825,2.399
Bulgaira,16.667,17.183,26.427,25.645,27.357,23.906,23.321
Burkina Faso,28.184,28.791,30.387,35.767,38.266,38.115,41.191
Burundi,41.431,36.106,35.772,45.263,48.42,51.712,58.44
Cabo Verde,91.111,102.49,115.924,126.033,127.839,125.839,129.871
Cambodia,31.534,31.61,31.841,30.947,29.124,30.377,31.746
Cameroon,15.412,18.212,21.534,31.981,32.517,36.931,36.866
Canada,84.84,85.789,84.96,90.547,91.147,89.727,87.262
Central African Republic,23.518,38.532,69.162,63.995,55.981,52.854,46.867
Chad,28.772,30.519,41.545,43.766,52.408,52.496,49.234
Chile,11.945,12.73,14.955,17.272,21.049,23.597,24.759
China,34.269,36.997,39.92,41.066,44.177,46.96,50.104
Colombia,33.998,37.617,43.319,50.419,49.971,49.354,48.695
Comoros,42.576,18.221,21.683,23.871,27.674,32.373,28.991
Democratic Republic of the Congo,23.169,19.119,16.803,16.787,19.346,18.108,16.215
Republic of Congo,45.656,50.029,60.329,112.146,128.654,130.795,100.681
Costa Roca,34.221,35.837,38.407,40.878,44.925,48.916,53.671
CUte d'Ivoire,45.041,43.36,44.79,47.266,46.975,46.957,48.765
Croatia,70.598,81.631,85.709,85.267,82.276,77.847,74.249
Cyprus,79.175,102.084,107.476,107.498,106.578,97.454,112.302
Czech Republic,44.47,44.909,42.169,39.955,36.806,34.669,33.166
Denmark,44.894,44.046,44.27,39.926,37.868,35.294,34.739
Djibouti,43.302,42.718,38.811,33.717,33.677,31.824,29.876
Dominicana,72.367,80.147,78.718,75.265,71.748,82.71,87.769
Dominican Republic,29.999,33.896,33.289,32.71,34.626,37.202,36.51
Ecuador,17.496,20.031,27.075,33.798,43.166,45.363,48.374
Egypt,73.8,84.021,85.127,88.458,96.841,103.04,92.519
El Salvador,61.47,60.955,63.063,65.081,66.448,67.942,67.875
Equatorial Guinea,7.097,6.272,12.56,33.607,43.338,37.409,37.292
Eritrea,128.327,127.477,128.674,132.498,132.81,131.244,129.41
Estonia,9.733,10.161,10.667,10.001,9.417,8.98,8.802
Eswatini,14.55,14.835,14.002,18.789,25.465,28.361,37.642
Ethiopia,37.656,42.875,46.802,54.009,53.236,54.197,59.494
Fiji,51.621,49.664,48.214,46.205,47.465,48.864,49.761
Finland,53.91,56.458,60.2,63.537,62.949,61.332,60.516
