"","year","country","generation"
"1","1965","Canada",259.855544677979
"2","1966","Canada",271.067865209613
"3","1967","Canada",284.90543990878
"4","1968","Canada",307.276992977723
"5","1969","Canada",319.226620346392
"6","1970","Canada",343.758421334873
"7","1971","Canada",350.733305645332
"8","1972","Canada",367.045631266994
"9","1973","Canada",386.166198491225
"10","1974","Canada",392.53209266858
"11","1975","Canada",389.322775580588
"12","1976","Canada",408.326889471598
"13","1977","Canada",432.61224050776
"14","1978","Canada",418.351127045259
"15","1979","Canada",425.368630873542
"16","1980","Canada",434.822625709519
"17","1981","Canada",415.328900703315
"18","1982","Canada",402.653182101818
"19","1983","Canada",384.454946348182
"20","1984","Canada",404.573850021398
"21","1985","Canada",399.764465044819
"22","1986","Canada",389.251918145728
"23","1987","Canada",402.642518900435
"24","1988","Canada",433.039260957231
"25","1989","Canada",452.428115080135
"26","1990","Canada",447.348357782514
"27","1991","Canada",429.049546926408
"28","1992","Canada",440.817312847022
"29","1993","Canada",434.930503381359
"30","1994","Canada",450.033947162504
"31","1995","Canada",461.15415379949
"32","1996","Canada",470.466138333048
"33","1997","Canada",484.896790719451
"34","1998","Canada",498.558606734692
"35","1999","Canada",504.408055191139
"36","2000","Canada",526.063775289955
"37","2001","Canada",523.913160151703
"38","2002","Canada",534.826358946175
"39","2003","Canada",546.869787151536
"40","2004","Canada",540.244139501421
"41","2005","Canada",541.545228457748
"42","2006","Canada",528.309298011055
"43","2007","Canada",551.171861764154
"44","2008","Canada",545.616885553747
"45","2009","Canada",502.255348971798
"46","2010","Canada",526.72463906528
"47","2011","Canada",539.016148455369
"48","2012","Canada",523.221629678102
"49","2013","Canada",541.920045770123
"50","2014","Canada",551.315913468383
"51","2015","Canada",544.567584976593
"52","2016","Canada",535.898708017786
"53","2017","Canada",549.536093210288
"54","2018","Canada",550.294100171036
"55","1965","Trinidad & Tobago",7.78274470775511
"56","1966","Trinidad & Tobago",8.14223118397706
"57","1967","Trinidad & Tobago",8.62538597593202
"58","1968","Trinidad & Tobago",8.86221304615812
"59","1969","Trinidad & Tobago",9.1844694457877
"60","1970","Trinidad & Tobago",9.7181953535411
"61","1971","Trinidad & Tobago",9.8740225800904
"62","1972","Trinidad & Tobago",14.3048066846843
"63","1973","Trinidad & Tobago",14.178553215061
"64","1974","Trinidad & Tobago",13.3127918185098
"65","1975","Trinidad & Tobago",10.2122598083588
"66","1976","Trinidad & Tobago",11.7077364785048
"67","1977","Trinidad & Tobago",11.7450983990023
"68","1978","Trinidad & Tobago",10.9547229456361
"69","1979","Trinidad & Tobago",9.14096415573255
"70","1980","Trinidad & Tobago",8.57289659084699
"71","1981","Trinidad & Tobago",9.5815073647185
"72","1982","Trinidad & Tobago",9.91852284641125
"73","1983","Trinidad & Tobago",8.96657358461157
"74","1984","Trinidad & Tobago",8.14405933622128
"75","1985","Trinidad & Tobago",8.40068841826509
"76","1986","Trinidad & Tobago",9.10278711416435
"77","1987","Trinidad & Tobago",7.95388836028737
"78","1988","Trinidad & Tobago",8.3277847413128
"79","1989","Trinidad & Tobago",8.0347969491095
"80","1990","Trinidad & Tobago",9.64770691159306
"81","1991","Trinidad & Tobago",9.08080569237234
"82","1992","Trinidad & Tobago",10.5907075950311
"83","1993","Trinidad & Tobago",10.6780171054318
"84","1994","Trinidad & Tobago",10.151326009215
"85","1995","Trinidad & Tobago",11.2645287799967
"86","1996","Trinidad & Tobago",11.7926592328292
"87","1997","Trinidad & Tobago",10.7998448474748
"88","1998","Trinidad & Tobago",10.2793935542938
"89","1999","Trinidad & Tobago",12.4064877262
"90","2000","Trinidad & Tobago",12.6702239817919
"91","2001","Trinidad & Tobago",13.7590624257339
"92","2002","Trinidad & Tobago",15.5299668772954
"93","2003","Trinidad & Tobago",16.7716050289382
"94","2004","Trinidad & Tobago",17.6873103185207
"95","2005","Trinidad & Tobago",17.773559294985
"96","2006","Trinidad & Tobago",19.2123992897591
"97","2007","Trinidad & Tobago",21.583455663392
"98","2008","Trinidad & Tobago",21.6409752765457
"99","2009","Trinidad & Tobago",20.4042359893709
"100","2010","Trinidad & Tobago",22.4862167829086
"101","2011","Trinidad & Tobago",22.4971769674385
"102","2012","Trinidad & Tobago",21.8355217320672
"103","2013","Trinidad & Tobago",23.1544971413087
"104","2014","Trinidad & Tobago",22.5591422343686
"105","2015","Trinidad & Tobago",22.1460626317936
"106","2016","Trinidad & Tobago",21.5546490695934
"107","2017","Trinidad & Tobago",20.7331039826086
"108","2018","Trinidad & Tobago",20.7170744017444
"109","1965","Venezuela",43.7115326994182
"110","1966","Venezuela",44.0017593744542
"111","1967","Venezuela",45.9592906819831
"112","1968","Venezuela",48.913033701981
"113","1969","Venezuela",49.0616601093941
"114","1970","Venezuela",49.3163519892919
"115","1971","Venezuela",49.4894320414632
"116","1972","Venezuela",52.2186783485107
"117","1973","Venezuela",59.61773638101
"118","1974","Venezuela",60.735106298483
"119","1975","Venezuela",62.5847081155243
"120","1976","Venezuela",66.0941109715779
"121","1977","Venezuela",73.828927616866
"122","1978","Venezuela",75.1347679168917
"123","1979","Venezuela",83.0942211572104
"124","1980","Venezuela",95.3051021066229
"125","1981","Venezuela",99.1500522000484
"126","1982","Venezuela",99.790520798061
"127","1983","Venezuela",98.3219575509626
"128","1984","Venezuela",98.3795749610302
"129","1985","Venezuela",99.8690102013368
"130","1986","Venezuela",105.623148318124
"131","1987","Venezuela",101.21542919896
"132","1988","Venezuela",103.631298366173
"133","1989","Venezuela",106.0930796363
"134","1990","Venezuela",111.898247153524
"135","1991","Venezuela",105.851784344623
"136","1992","Venezuela",116.39266697952
"137","1993","Venezuela",113.681120475685
"138","1994","Venezuela",122.128586887133
"139","1995","Venezuela",126.749640274567
"140","1996","Venezuela",118.803792426292
"141","1997","Venezuela",125.80286318955
"142","1998","Venezuela",135.594359176822
"143","1999","Venezuela",129.712153825004
"144","2000","Venezuela",130.846348242569
"145","2001","Venezuela",143.244242146585
"146","2002","Venezuela",145.435580738392
"147","2003","Venezuela",126.166884719687
"148","2004","Venezuela",139.948924020732
