"","year","country","generation"
"1","1965","Canada",117.1229388
"2","1966","Canada",128.8210906
"3","1967","Canada",133.1255862
"4","1968","Canada",136.3208124
"5","1969","Canada",148.226676
"6","1970","Canada",155.3242324
"7","1971","Canada",157.0301208
"8","1972","Canada",171.3312992
"9","1973","Canada",178.831021
"10","1974","Canada",197.9360872
"11","1975","Canada",195.0369608
"12","1976","Canada",203.5397824
"13","1977","Canada",199.632642
"14","1978","Canada",218.1333788
"15","1979","Canada",213.9667534
"16","1980","Canada",223.8123706
"17","1981","Canada",226.955945
"18","1982","Canada",260.0463452
"19","1983","Canada",268.154977
"20","1984","Canada",288.5859574
"21","1985","Canada",305.3792978
"22","1986","Canada",312.5585304
"23","1987","Canada",318.5804908
"24","1988","Canada",309.980337
"25","1989","Canada",293.927744444441
"26","1990","Canada",299.639242424239
"27","1991","Canada",311.261911111108
"28","1992","Canada",319.700707177451
"29","1993","Canada",327.091950611794
"30","1994","Canada",333.649633440077
"31","1995","Canada",341.260442251043
"32","1996","Canada",362.188484284756
"33","1997","Canada",356.916788100477
"34","1998","Canada",339.929284238273
"35","1999","Canada",354.119194157958
"36","2000","Canada",365.957541132129
"37","2001","Canada",341.54175744131
"38","2002","Canada",359.748480294778
"39","2003","Canada",346.269448167496
"40","2004","Canada",349.162150079741
"41","2005","Canada",372.680478968629
"42","2006","Canada",364.295595332266
"43","2007","Canada",379.618269806481
"44","2008","Canada",389.251799303026
"45","2009","Canada",384.313049524185
"46","2010","Canada",370.573195135562
"47","2011","Canada",396.696603189788
"48","2012","Canada",403.372250047842
"49","2013","Canada",422.285250664535
"50","2014","Canada",416.305687208927
"51","2015","Canada",419.590458001063
"52","2016","Canada",429.057111057948
"53","2017","Canada",438.585179851143
"54","2018","Canada",432.555814181891
"55","1965","Trinidad & Tobago",0
"56","1966","Trinidad & Tobago",0
"57","1967","Trinidad & Tobago",0
"58","1968","Trinidad & Tobago",0
"59","1969","Trinidad & Tobago",0
"60","1970","Trinidad & Tobago",0
"61","1971","Trinidad & Tobago",0.035
"62","1972","Trinidad & Tobago",0.035
"63","1973","Trinidad & Tobago",0.029
"64","1974","Trinidad & Tobago",0.025
"65","1975","Trinidad & Tobago",0.023
"66","1976","Trinidad & Tobago",0.019
"67","1977","Trinidad & Tobago",0.023
"68","1978","Trinidad & Tobago",0.029
"69","1979","Trinidad & Tobago",0.029
"70","1980","Trinidad & Tobago",0.026
"71","1981","Trinidad & Tobago",0.019
"72","1982","Trinidad & Tobago",0.018
"73","1983","Trinidad & Tobago",0.016
"74","1984","Trinidad & Tobago",0.013
"75","1985","Trinidad & Tobago",0.017
"76","1986","Trinidad & Tobago",0.026
"77","1987","Trinidad & Tobago",0.031
"78","1988","Trinidad & Tobago",0.027
"79","1989","Trinidad & Tobago",0.026
"80","1990","Trinidad & Tobago",0.031
"81","1991","Trinidad & Tobago",0.025
"82","1992","Trinidad & Tobago",0.03
"83","1993","Trinidad & Tobago",0.028
"84","1994","Trinidad & Tobago",0.032
"85","1995","Trinidad & Tobago",0.033
"86","1996","Trinidad & Tobago",0.017
"87","1997","Trinidad & Tobago",0.018
"88","1998","Trinidad & Tobago",0.018
"89","1999","Trinidad & Tobago",0.018
"90","2000","Trinidad & Tobago",0.0201
"91","2001","Trinidad & Tobago",0.0296
"92","2002","Trinidad & Tobago",0.027
"93","2003","Trinidad & Tobago",0.0135
"94","2004","Trinidad & Tobago",0.0252
"95","2005","Trinidad & Tobago",0.0243
"96","2006","Trinidad & Tobago",0.0477
"97","2007","Trinidad & Tobago",0.0219
"98","2008","Trinidad & Tobago",0.0231
"99","2009","Trinidad & Tobago",0.0225
"100","2010","Trinidad & Tobago",0.004
"101","2011","Trinidad & Tobago",0.004
"102","2012","Trinidad & Tobago",0.004
"103","2013","Trinidad & Tobago",0.004
"104","2014","Trinidad & Tobago",0.004
"105","2015","Trinidad & Tobago",0.004
"106","2016","Trinidad & Tobago",0.004
"107","2017","Trinidad & Tobago",0.00398907103825137
"108","2018","Trinidad & Tobago",0.00398907103825137
"109","1965","Venezuela",1.3965304
"110","1966","Venezuela",1.4318856
"111","1967","Venezuela",1.6616944
"112","1968","Venezuela",2.7930608
"113","1969","Venezuela",3.2791948
"114","1970","Venezuela",4.1056226
"115","1971","Venezuela",5.3960874
"116","1972","Venezuela",6.0236422
"117","1973","Venezuela",6.2225152
"118","1974","Venezuela",7.711853
"119","1975","Venezuela",8.9316074
"120","1976","Venezuela",10.584463
"121","1977","Venezuela",12.1666082
"122","1978","Venezuela",12.2328992
"123","1979","Venezuela",14.2481456
"124","1980","Venezuela",14.58402
"125","1981","Venezuela",15.0966704
"126","1982","Venezuela",15.8170326
"127","1983","Venezuela",18.0620878
"128","1984","Venezuela",20.2496908
"129","1985","Venezuela",22.648
"130","1986","Venezuela",25.159
"131","1987","Venezuela",30.843
"132","1988","Venezuela",34.203
"133","1989","Venezuela",34.666
"134","1990","Venezuela",36.983
"135","1991","Venezuela",44.542
"136","1992","Venezuela",47.271
"137","1993","Venezuela",47.478
"138","1994","Venezuela",51.284
"139","1995","Venezuela",51.45
"140","1996","Venezuela",53.847
"141","1997","Venezuela",57.268
"142","1998","Venezuela",57.923
"143","1999","Venezuela",60.6
"144","2000","Venezuela",62.886
"145","2001","Venezuela",60.441
"146","2002","Venezuela",59.534
"147","2003","Venezuela",60.532
"148","2004","Venezuela",70.075
"149","2005","Venezuela",77.08849
"150","2006","Venezuela",81.41334
"151","2007","Venezuela",83.03442
"152","2008","Venezuela",86.7129
"153","2009","Venezuela",85.83926
"154","2010","Venezuela",76.66224
"155","2011","Venezuela",83.15769
"156","2012","Venezuela",81.74076
"157","2013","Venezuela",83.4103473170732
"158","2014","Venezuela",78.7534778048781
"159","2015","Venezuela",73.4069748780488
"160","2016","Venezuela",61.709069568338
"161","2017","Venezuela",79.4954852341925
"162","2018","Venezuela",72.0939580171901
"163","1965","Central America",1.218291
"164","1966","Central America",1.339291
"165","1967","Central America",1.5461298
"166","1968","Central America",1.6545492
"167","1969","Central America",1.8439686
"168","1970","Central America",2.109088
"169","1971","Central America",2.3347074
"170","1972","Central America",2.3881268
"171","1973","Central America",2.5354462
"172","1974","Central America",2.8241462
"173","1975","Central America",2.8265656
"174","1976","Central America",3.3804626
"175","1977","Central America",3.6372402
"176","1978","Central America",4.7128372
"177","1979","Central America",5.3008148
"178","1980","Central America",5.93531706315789
"179","1981","Central America",6.59101706315789
"180","1982","Central America",6.5586976631579
"181","1983","Central America",7.19077526315789
"182","1984","Central America",8.2235110631579
"183","1985","Central America",8.91631
"184","1986","Central America",10.18426
"185","1987","Central America",10.594491
"186","1988","Central America",11.198263
"187","1989","Central America",12.306062
"188","1990","Central America",12.863279631579
"189","1991","Central America",12.6623329157895
"190","1992","Central America",12.6084471736842
"191","1993","Central America",13.7455600210526
"192","1994","Central America",13.3087392210526
"193","1995","Central America",13.2130268947368
"194","1996","Central America",14.9878273734879
"195","1997","Central America",14.6922284871579
"196","1998","Central America",14.5276035649942
"197","1999","Central America",17.5087036040384
"198","2000","Central America",18.3460574814947
"199","2001","Central America",16.9443556533
"200","2002","Central America",18.0424222759368
"201","2003","Central America",18.8685313755
"202","2004","Central America",20.0113434233
"203","2005","Central America",21.3170245177444
"204","2006","Central America",22.5708589473556
"205","2007","Central America",22.9410868698778
"206","2008","Central America",25.2202832058778
"207","2009","Central America",24.5508190697556
"208","2010","Central America",27.5746887700222
"209","2011","Central America",27.5455112830789
"210","2012","Central America",30.054218283975
"211","2013","Central America",30.3637482609105
"212","2014","Central America",31.2042108835492
"213","2015","Central America",33.9084780310145
"214","2016","Central America",35.8164106258242
"215","2017","Central America",39.9600612076003
"216","2018","Central America",42.0926883833136
"217","1965","Austria",16.083
"218","1966","Austria",17.331
"219","1967","Austria",17.698
"220","1968","Austria",18.185
"221","1969","Austria",16.718
"222","1970","Austria",21.2897
"223","1971","Austria",16.8201
"224","1972","Austria",17.2876
"225","1973","Austria",19.2092
"226","1974","Austria",22.7122
"227","1975","Austria",23.7952
"228","1976","Austria",20.5656
"229","1977","Austria",24.9208
"230","1978","Austria",24.9408
"231","1979","Austria",28.0968
"232","1980","Austria",29.1099
"233","1981","Austria",30.8473
"234","1982","Austria",30.8963
"235","1983","Austria",30.6063
"236","1984","Austria",26.849564
"237","1985","Austria",30.775146
"238","1986","Austria",32.191428
"239","1987","Austria",36.293807
"240","1988","Austria",36.351048
"241","1989","Austria",36.18688
"242","1990","Austria",32.651485
"243","1991","Austria",32.669232
"244","1992","Austria",36.1775639999999
"245","1993","Austria",38.067667
"246","1994","Austria",36.919055
"247","1995","Austria",38.926443
"248","1996","Austria",35.811555
"249","1997","Austria",37.838667
"250","1998","Austria",39.05311
"251","1999","Austria",42.3490326188815
