"","year","country","generation"
"1","1990","US",28.4790130551854
"2","1991","US",32.9994913433069
"3","1992","US",37.4174560532004
"4","1993","US",43.9688275224947
"5","1994","US",49.096177697491
"6","1995","US",51.7134459927464
"7","1996","US",36.9787888288983
"8","1997","US",49.0721807387936
"9","1998","US",53.5180172867857
"10","1999","US",55.8025277547715
"11","2000","US",61.6265284361832
"12","2001","US",67.7147411771777
"13","2002","US",82.1041462676514
"14","2003","US",107.614375569265
"15","2004","US",130.878835913469
"16","2005","US",153.783504815405
"17","2006","US",200.018189442679
"18","2007","US",275.715416079858
"19","2008","US",391.331948262719
"20","2009","US",445.400893658456
"21","2010","US",525.682939302345
"22","2011","US",584.539682980401
"23","2012","US",557.221218002949
"24","2013","US",582.165250879851
"25","2014","US",616.531485026911
"26","2015","US",634.49224122311
"27","2016","US",672.711821335565
"28","2017","US",696.03961152132
"29","2018","US",713.958574592534
"30","1990","France",0
"31","1991","France",0
"32","1992","France",0.0421919156940024
"33","1993","France",0.471249801057633
"34","1994","France",1.53026844706209
"35","1995","France",3.00014043990748
"36","1996","France",4.30544478119117
"37","1997","France",5.16833940525093
"38","1998","France",4.83158512219602
"39","1999","France",5.07913185540076
"40","2000","France",6.06924257895835
"41","2001","France",6.07141823045195
"42","2002","France",6.50317227451561
"43","2003","France",7.14033424697981
"44","2004","France",7.4644359488769
"45","2005","France",12.0911002058952
"46","2006","France",12.6784566604035
"47","2007","France",21.1366407885908
"48","2008","France",38.8646802900535
"49","2009","France",43.607908251227
"50","2010","France",42.5105372944444
"51","2011","France",38.7028051608628
"52","2012","France",44.5666643950533
"53","2013","France",45.6315643678849
"54","2014","France",48.23747829363
"55","2015","France",47.988094548472
"56","2016","France",45.0990452400022
"57","2017","France",49.0282931944661
"58","2018","France",51.1186800652878
"59","1990","Germany",0
"60","1991","Germany",0
"61","1992","Germany",0.0830565713019286
"62","1993","Germany",0.0832841235520708
"63","1994","Germany",0.466338605835791
"64","1995","Germany",0.582932629804704
"65","1996","Germany",0.913528815301068
"66","1997","Germany",1.49896426377783
"67","1998","Germany",1.66551376586204
"68","1999","Germany",2.16516227211467
"69","2000","Germany",4.15239860760376
"70","2001","Germany",5.82927006298725
"71","2002","Germany",9.16029759471133
"72","2003","Germany",11.142096081864
"73","2004","Germany",17.0171480625025
"74","2005","Germany",26.0727668869403
"75","2006","Germany",42.8768899639699
"76","2007","Germany",53.2262778979847
"77","2008","Germany",47.2419533834824
"78","2009","Germany",47.4022939306179
"79","2010","Germany",58.7466300325141
"80","2011","Germany",57.7237892749759
"81","2012","Germany",53.9439812288306
"82","2013","Germany",57.6115066055911
"83","2014","Germany",64.862019675978
"84","2015","Germany",59.8203435706807
"85","2016","Germany",60.3369769651362
"86","2017","Germany",61.7362763200637
"87","2018","Germany",64.5745421319008
"88","1990","Italy",0
"89","1991","Italy",0
"90","1992","Italy",0
"91","1993","Italy",0
