"","year","country","generation"
"1","1965","Canada",0
"2","1966","Canada",0
"3","1967","Canada",0
"4","1968","Canada",0
"5","1969","Canada",0
"6","1970","Canada",0
"7","1971","Canada",0
"8","1972","Canada",0
"9","1973","Canada",0
"10","1974","Canada",0
"11","1975","Canada",0
"12","1976","Canada",0.707
"13","1977","Canada",1.069
"14","1978","Canada",1.132
"15","1979","Canada",1.345
"16","1980","Canada",1.3
"17","1981","Canada",1.898
"18","1982","Canada",2.139
"19","1983","Canada",2.085
"20","1984","Canada",2.337
"21","1985","Canada",1.677
"22","1986","Canada",1.865
"23","1987","Canada",2.312
"24","1988","Canada",2.485
"25","1989","Canada",3.477
"26","1990","Canada",3.954
"27","1991","Canada",3.984
"28","1992","Canada",4.465
"29","1993","Canada",4.817
"30","1994","Canada",5.733
"31","1995","Canada",7.13786580261281
"32","1996","Canada",7.52851480028531
"33","1997","Canada",8.16821952035939
"34","1998","Canada",8.98725372275196
"35","1999","Canada",8.94314817178467
"36","2000","Canada",8.91704230172435
"37","2001","Canada",9.67214920101609
"38","2002","Canada",10.0461040587381
"39","2003","Canada",9.4172940473509
"40","2004","Canada",9.80452631578947
"41","2005","Canada",9.15425578947368
"42","2006","Canada",8.9376252631579
"43","2007","Canada",8.99065684210526
"44","2008","Canada",7.97801894736842
"45","2009","Canada",8.94110947368421
"46","2010","Canada",10.2972421052632
"47","2011","Canada",10.2136789473684
"48","2012","Canada",10.9137136842105
"49","2013","Canada",11.0349789473684
"50","2014","Canada",9.14650842105263
"51","2015","Canada",7.53581052631579
"52","2016","Canada",9.67747368421053
"53","2017","Canada",9.72452631578947
"54","2018","Canada",9.58863553561123
"55","1965","Trinidad & Tobago",0
"56","1966","Trinidad & Tobago",0
"57","1967","Trinidad & Tobago",0
"58","1968","Trinidad & Tobago",0
"59","1969","Trinidad & Tobago",0
"60","1970","Trinidad & Tobago",0
"61","1971","Trinidad & Tobago",0.035
"62","1972","Trinidad & Tobago",0.035
"63","1973","Trinidad & Tobago",0.029
"64","1974","Trinidad & Tobago",0.025
"65","1975","Trinidad & Tobago",0.023
"66","1976","Trinidad & Tobago",0.019
"67","1977","Trinidad & Tobago",0.023
"68","1978","Trinidad & Tobago",0.029
"69","1979","Trinidad & Tobago",0.029
"70","1980","Trinidad & Tobago",0.026
"71","1981","Trinidad & Tobago",0.019
"72","1982","Trinidad & Tobago",0.018
"73","1983","Trinidad & Tobago",0.016
"74","1984","Trinidad & Tobago",0.013
"75","1985","Trinidad & Tobago",0.017
"76","1986","Trinidad & Tobago",0.026
"77","1987","Trinidad & Tobago",0.031
"78","1988","Trinidad & Tobago",0.027
"79","1989","Trinidad & Tobago",0.026
"80","1990","Trinidad & Tobago",0.031
"81","1991","Trinidad & Tobago",0.025
"82","1992","Trinidad & Tobago",0.03
"83","1993","Trinidad & Tobago",0.028
"84","1994","Trinidad & Tobago",0.032
"85","1995","Trinidad & Tobago",0.033
"86","1996","Trinidad & Tobago",0.017
"87","1997","Trinidad & Tobago",0.018
"88","1998","Trinidad & Tobago",0.018
"89","1999","Trinidad & Tobago",0.018
"90","2000","Trinidad & Tobago",0.02
"91","2001","Trinidad & Tobago",0.029
"92","2002","Trinidad & Tobago",0.026
"93","2003","Trinidad & Tobago",0.012
"94","2004","Trinidad & Tobago",0.023
"95","2005","Trinidad & Tobago",0.022
"96","2006","Trinidad & Tobago",0.045
"97","2007","Trinidad & Tobago",0.019
"98","2008","Trinidad & Tobago",0.02
"99","2009","Trinidad & Tobago",0.019
"100","2010","Trinidad & Tobago",0
"101","2011","Trinidad & Tobago",0
"102","2012","Trinidad & Tobago",0
"103","2013","Trinidad & Tobago",0
"104","2014","Trinidad & Tobago",0
"105","2015","Trinidad & Tobago",0
"106","2016","Trinidad & Tobago",0
"107","2017","Trinidad & Tobago",0
"108","2018","Trinidad & Tobago",0
"109","1965","Venezuela",0
"110","1966","Venezuela",0
"111","1967","Venezuela",0
"112","1968","Venezuela",0
"113","1969","Venezuela",0
"114","1970","Venezuela",0
"115","1971","Venezuela",0
"116","1972","Venezuela",0
"117","1973","Venezuela",0
"118","1974","Venezuela",0
