GeoType,GEOID,GeoName,TotalPop,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose
National,9999,US,244945724,35.793,64.079,66.147,33.559,67.584,31.731,56.292,16.269,56.237,17.365,60.362,19.655,59.836,13.248,69.259,11.953,63.626,12.215,72.373,26.568,62.44,36.745,51.947,47.268,32.916,66.521,83.187,16.181,81.241,18.06,32.49,65.95,69.651,27.598,76.607,23.016,66.999,16.033,52.861,32.647,51.636,25.469,60,39.912,42.161,48.873,57.448,32.893,62.062,26.973,67.478,22.374,68.6,22.168,47.794,52.206,59.144,7.139
State,1,Alabama,3735975,28.677,71.267,60.307,38.446,62.625,36.675,52.721,16.631,52.937,18.039,53.937,23.261,55.015,16.346,63.29,13.062,58.249,13.826,67.757,31.161,55.477,44.267,61.854,36.634,36.307,62.015,79.409,19.88,79.037,20.002,25.172,73.022,67.488,29.13,73.634,25.731,58.41,19.583,46.193,37.76,41.046,28.199,52.015,47.77,36.857,50.634,50.792,35.895,55.188,29.967,57.862,27.258,59.9,26.22,42.431,57.569,49.219,8.803
State,2,Alaska,549239,38.811,60.41,61.414,37.886,62.935,36.526,51.189,18.816,47.219,22.632,55.2,25.089,53.862,17.185,66.649,12.538,61.414,12.165,68.737,30.204,56.572,42.364,52.708,46.786,34.56,64.044,82.701,16.357,80.889,18.024,36.852,61.491,69.707,26.013,74.561,25.045,64.769,19.6,47.609,37.047,49.852,30.318,56.442,43.047,38.396,54.335,55.018,37.281,61.081,30.836,64.092,26.852,67.672,25.926,44.125,55.875,54.937,8.045
State,4,Arizona,5108959,38.699,61.105,62.293,37.067,65.413,33.8,55.253,17.621,54.231,18.477,58.706,21.864,57.605,14.9,68.203,12.228,62.175,12.692,70.923,28.728,61.169,38.117,56.118,42.852,38.198,60.799,82.355,17.028,80.419,19.052,37.229,61.22,69.31,28.514,75.418,24.358,66.601,17.628,51.541,33.736,51.498,27.269,59.557,40.418,42.353,49.216,57.518,34.1,61.216,28.382,64.73,24.491,66.01,24.582,47.167,52.833,58.402,7.556
State,5,Arkansas,2261238,30.274,69.58,61.671,37.941,62.027,37.469,52.408,17.898,51.531,19.31,54.853,25.278,53.958,18.222,63.726,13.327,59.003,14.301,66.568,32.995,57.127,42.464,58.305,40.057,37.995,60.177,78.751,21.23,78.015,20.923,28.739,69.807,64.031,30.337,73.547,25.869,59.982,20.744,46.61,37.456,42.102,30.059,52.986,46.972,36.547,52.131,51.773,37.332,57.28,31.16,61.526,26.482,63.309,26.005,42.286,57.714,50.778,9.301
State,6,California,29513923,42.048,57.772,70.125,29.626,71.712,27.772,59.06,16.144,56.651,19.577,64.829,18.163,64.277,10.985,72.267,11.642,67.163,11.417,74.444,24.149,65.851,33.13,41.897,57.208,27.871,71.061,83.665,15.217,82.61,16.4,36.659,61.358,73.899,24.528,80.486,19.181,73.027,11.596,59.158,27.267,58.098,20.769,67.42,32.391,49.7,41.972,64.499,26.665,68.481,21.185,73.246,17.571,74.432,17.211,54.259,45.741,64.511,6.279
State,8,Colorado,4113114,40.655,59.22,62.859,36.671,67.944,31.359,54.627,17.466,53.917,18.705,60.311,21.698,58.164,14.559,70.151,11.889,64.703,12.103,71.856,27.676,62.42,37.378,45.414,54.372,31.273,69.733,83.793,15.704,81.525,18.441,39.862,58.644,70.191,26.823,75.768,24.052,68.053,16.722,53.04,32.36,53.63,26.931,60.301,39.689,41.529,51.361,57.807,34.893,62.316,28.754,68.009,22.789,69.29,23.013,47.352,52.648,60.984,6.955
State,9,Connecticut,2814918,38.483,61.322,72.488,27.579,73.645,25.489,56.627,14.506,58.045,14.431,64.659,15.621,61.589,10.824,72.825,10.54,66.649,10.188,76.101,22.61,68.056,31.46,50.546,48.822,30.709,69.249,86.55,13.183,83.956,15.3,32.883,65.952,71.498,26.706,79.896,19.492,68.889,13.52,56.8,28.916,55.783,22.759,65.322,34.497,42.809,48.786,60.723,30.79,65.963,24.4,73.726,17.973,73.901,18.241,49.496,50.504,64.239,6.61
State,10,Delaware,730503,34.442,65.785,65.698,34.147,69.117,30.044,58.787,16.175,59.2,16.986,62.054,19.357,62.546,12.547,69.761,12.777,63.828,13.454,73.056,26.217,63.23,36.474,51.03,49.404,32.947,67.623,83.309,16.17,80.782,18.527,31.05,67.411,69.032,28.889,76.25,23.445,68.061,14.792,53.2,31.852,53.564,24.089,59.152,40.978,43.129,47.353,57.321,32.059,63.664,25.701,68.137,20.987,68.486,21.193,48.96,51.04,61.371,6.526
State,11,District of Columbia,544324,43.608,56.424,72.935,26.643,77.607,21.611,66.66,12.486,67.487,12.344,73.076,12.074,69.33,6.682,77.943,9.356,73.114,9.349,79.318,19.737,70.66,28.283,37.299,63.555,22.816,77.56,88.249,11.083,84.561,14.754,37.663,60.714,75.231,21.596,83.621,16.284,80.083,7.43,61.332,27.191,67.419,17.524,70.604,29.241,53.179,39.082,68.1,22.899,76.321,16.461,78.529,12.957,80.274,12.648,60.519,39.481,74.608,3.892
