"year","oil","gas","carbon"
"1985",107.744379569893,313.920392473118,4573.72331737568
"1986",146.865448387097,267.213368817204,4585.49879391244
"1987",127.411366666667,293.140648387097,4728.60722644668
"1988",160.10705483871,271.828713978495,4948.82525765126
"1989",176.72959139785,379.170823655914,5037.9408027082
"1990",135.978711827957,400.822746236559,4946.55357042061
"1991",128.765132258064,410.272061290323,4900.40445569264
"1992",107.692648387097,434.488572043011,4978.21448904013
"1993",121.277612903226,446.157847311827,5093.69603791675
"1994",113.872024731183,494.858797849461,5170.6386012686
"1995",80.1656612903224,533.395639784945,5201.12347586802
"1996",87.5389516129033,489.307070967741,5383.81723337392
"1997",99.5213688172044,515.482440860217,5490.31139247781
"1998",138.494809677419,571.244197849464,5528.36736181837
"1999",126.947137634409,598.275405376344,5577.14655160908
"2000",119.592435483871,646.277590322583,5748.29334078012
"2001",134.279807526882,687.235611827957,5636.8328868337
"2002",101.685370967742,743.016929032257,5651.87661389566
"2003",128.393164516129,698.825310752687,5717.46037570823
"2004",130.263502150538,763.548405376344,5815.9777937222
"2005",131.424749462366,818.236832258063,5851.32194043207
"2006",68.9961440860216,877.89330107527,5770.96040296041
"2007",70.6870731182797,964.075044086021,5861.10073590986
"2008",49.7232387096774,949.441504301075,5675.70230439975
"2009",41.8672204301075,990.299656989246,5263.89639259467
"2010",39.8505516129032,1062.04003655914,5465.59346542292
"2011",32.4540268817204,1089.98809569892,5355.70638666352
"2012",24.9349913978495,1318.16577956989,5137.0406579457
"2013",29.2090795698925,1209.50060215054,5260.47140259599
"2014",32.5073784946237,1211.40748172043,5300.38690241985
"2015",30.3749989247312,1433.8517311828,5153.69295686094
"2016",26.0266731182796,1482.05046666666,5053.71866408031
"2017",22.9999548387097,1393.99429247312,5014.35676073782
"2018",26.421311827957,1578.50817096774,5145.16318720394
