"","year","country","generation"
"1","1965","Canada",117.1229388
"2","1966","Canada",128.8210906
"3","1967","Canada",133.1255862
"4","1968","Canada",136.3208124
"5","1969","Canada",148.226676
"6","1970","Canada",155.3242324
"7","1971","Canada",157.0301208
"8","1972","Canada",171.3312992
"9","1973","Canada",178.831021
"10","1974","Canada",197.9360872
"11","1975","Canada",195.0369608
"12","1976","Canada",202.8327824
"13","1977","Canada",198.563642
"14","1978","Canada",217.0013788
"15","1979","Canada",212.6217534
"16","1980","Canada",222.5123706
"17","1981","Canada",225.057945
"18","1982","Canada",257.9073452
"19","1983","Canada",266.069977
"20","1984","Canada",286.2489574
"21","1985","Canada",303.7012978
"22","1986","Canada",310.6925304
"23","1987","Canada",316.2674908
"24","1988","Canada",307.494337
"25","1989","Canada",290.449744444441
"26","1990","Canada",295.68332323232
"27","1991","Canada",307.275991919188
"28","1992","Canada",315.174654545451
"29","1993","Canada",322.213897979794
"30","1994","Canada",327.855580808077
"31","1995","Canada",334.05973434343
"32","1996","Canada",354.59207474747
"33","1997","Canada",348.679621212117
"34","1998","Canada",330.869925252521
"35","1999","Canada",345.000782828278
"36","2000","Canada",356.760077777774
"37","2001","Canada",331.521029292926
"38","2002","Canada",349.274639393935
"39","2003","Canada",336.139364646461
"40","2004","Canada",338.398360606057
"41","2005","Canada",361.955749494945
"42","2006","Canada",352.887285858582
"43","2007","Canada",367.621459595955
"44","2008","Canada",377.487730303026
"45","2009","Canada",368.687405050501
"46","2010","Canada",351.384803030299
"47","2011","Canada",375.72372424242
"48","2012","Canada",380.267136363632
"49","2013","Canada",391.788871717167
"50","2014","Canada",382.501378787874
"51","2015","Canada",382.193256565657
"52","2016","Canada",387.16928989899
"53","2017","Canada",396.502347474747
"54","2018","Canada",387.250876231465
"55","1965","Trinidad & Tobago",0
"56","1966","Trinidad & Tobago",0
"57","1967","Trinidad & Tobago",0
"58","1968","Trinidad & Tobago",0
"59","1969","Trinidad & Tobago",0
"60","1970","Trinidad & Tobago",0
"61","1971","Trinidad & Tobago",0
"62","1972","Trinidad & Tobago",0
"63","1973","Trinidad & Tobago",0
"64","1974","Trinidad & Tobago",0
"65","1975","Trinidad & Tobago",0
"66","1976","Trinidad & Tobago",0
"67","1977","Trinidad & Tobago",0
"68","1978","Trinidad & Tobago",0
"69","1979","Trinidad & Tobago",0
"70","1980","Trinidad & Tobago",0
"71","1981","Trinidad & Tobago",0
"72","1982","Trinidad & Tobago",0
"73","1983","Trinidad & Tobago",0
"74","1984","Trinidad & Tobago",0
"75","1985","Trinidad & Tobago",0
"76","1986","Trinidad & Tobago",0
"77","1987","Trinidad & Tobago",0
"78","1988","Trinidad & Tobago",0
"79","1989","Trinidad & Tobago",0
"80","1990","Trinidad & Tobago",0
"81","1991","Trinidad & Tobago",0
"82","1992","Trinidad & Tobago",0
"83","1993","Trinidad & Tobago",0
"84","1994","Trinidad & Tobago",0
"85","1995","Trinidad & Tobago",0
"86","1996","Trinidad & Tobago",0
"87","1997","Trinidad & Tobago",0
"88","1998","Trinidad & Tobago",0
"89","1999","Trinidad & Tobago",0
"90","2000","Trinidad & Tobago",0
"91","2001","Trinidad & Tobago",0
"92","2002","Trinidad & Tobago",0
"93","2003","Trinidad & Tobago",0
"94","2004","Trinidad & Tobago",0
"95","2005","Trinidad & Tobago",0
"96","2006","Trinidad & Tobago",0
"97","2007","Trinidad & Tobago",0
"98","2008","Trinidad & Tobago",0
"99","2009","Trinidad & Tobago",0
"100","2010","Trinidad & Tobago",0
"101","2011","Trinidad & Tobago",0
"102","2012","Trinidad & Tobago",0
"103","2013","Trinidad & Tobago",0
"104","2014","Trinidad & Tobago",0
"105","2015","Trinidad & Tobago",0
"106","2016","Trinidad & Tobago",0
"107","2017","Trinidad & Tobago",0
"108","2018","Trinidad & Tobago",0
"109","1965","Venezuela",1.3965304
"110","1966","Venezuela",1.4318856
"111","1967","Venezuela",1.6616944
"112","1968","Venezuela",2.7930608
"113","1969","Venezuela",3.2791948
"114","1970","Venezuela",4.1056226
"115","1971","Venezuela",5.3960874
"116","1972","Venezuela",6.0236422
"117","1973","Venezuela",6.2225152
"118","1974","Venezuela",7.711853
"119","1975","Venezuela",8.9316074
"120","1976","Venezuela",10.584463
"121","1977","Venezuela",12.1666082
"122","1978","Venezuela",12.2328992
"123","1979","Venezuela",14.2481456
"124","1980","Venezuela",14.58402
"125","1981","Venezuela",15.0966704
"126","1982","Venezuela",15.8170326
"127","1983","Venezuela",18.0620878
"128","1984","Venezuela",20.2496908
"129","1985","Venezuela",22.648
"130","1986","Venezuela",25.159
"131","1987","Venezuela",30.843
"132","1988","Venezuela",34.203
"133","1989","Venezuela",34.666
"134","1990","Venezuela",36.983
"135","1991","Venezuela",44.542
"136","1992","Venezuela",47.271
"137","1993","Venezuela",47.478
"138","1994","Venezuela",51.284
"139","1995","Venezuela",51.45
"140","1996","Venezuela",53.847
"141","1997","Venezuela",57.268
"142","1998","Venezuela",57.923
"143","1999","Venezuela",60.6
"144","2000","Venezuela",62.886
"145","2001","Venezuela",60.441
"146","2002","Venezuela",59.534
"147","2003","Venezuela",60.532
"148","2004","Venezuela",70.075
"149","2005","Venezuela",77.08849
"150","2006","Venezuela",81.41334
"151","2007","Venezuela",83.03442
"152","2008","Venezuela",86.7129
"153","2009","Venezuela",85.83926
"154","2010","Venezuela",76.65978
"155","2011","Venezuela",83.15471
"156","2012","Venezuela",81.73554
"157","2013","Venezuela",83.405
"158","2014","Venezuela",78.74673
"159","2015","Venezuela",73.39693
"160","2016","Venezuela",61.69903406
"161","2017","Venezuela",79.4854771452762
"162","2018","Venezuela",72.0839499282737
"163","1965","Central America",1.218291
"164","1966","Central America",1.339291
"165","1967","Central America",1.5461298
"166","1968","Central America",1.6545492
"167","1969","Central America",1.8439686
"168","1970","Central America",2.109088
"169","1971","Central America",2.2277074
"170","1972","Central America",2.2471268
"171","1973","Central America",2.4184462
"172","1974","Central America",2.6681462
"173","1975","Central America",2.4885656
"174","1976","Central America",2.6564626
"175","1977","Central America",2.9382402
"176","1978","Central America",3.9608372
"177","1979","Central America",4.6588148
"178","1980","Central America",5.2532118
"179","1981","Central America",5.4819118
"180","1982","Central America",5.3605924
"181","1983","Central America",6.16467
"182","1984","Central America",6.9864058
"183","1985","Central America",7.97932
"184","1986","Central America",9.32351
"185","1987","Central America",9.683975
"186","1988","Central America",10.314301
"187","1989","Central America",11.134195
"188","1990","Central America",11.642524
"189","1991","Central America",11.327269
"190","1992","Central America",10.786794
"191","1993","Central America",12.02355
"192","1994","Central America",11.615682
"193","1995","Central America",11.462188
"194","1996","Central America",13.225811715
"195","1997","Central America",12.765683653
"196","1998","Central America",12.849074204
"197","1999","Central America",14.995346087
"198","2000","Central America",15.365460538
"199","2001","Central America",13.711556255
"200","2002","Central America",14.461674842
"201","2003","Central America",15.091870756
"202","2004","Central America",16.03553485
"203","2005","Central America",17.1180505655556
"204","2006","Central America",18.0028641033333
"205","2007","Central America",17.9442239311111
"206","2008","Central America",20.1023906733333
"207","2009","Central America",18.8338778334444
"208","2010","Central America",21.2351890522222
"209","2011","Central America",20.9176944354444
"210","2012","Central America",22.3139406587607
"211","2013","Central America",21.8301300988365
"212","2014","Central America",21.4874589041046
"213","2015","Central America",22.4256404936742
"214","2016","Central America",22.8130361457894
"215","2017","Central America",27.1658196743194
"216","2018","Central America",26.9075739417851
"217","1965","Austria",16.083
"218","1966","Austria",17.331
"219","1967","Austria",17.698
"220","1968","Austria",18.185
"221","1969","Austria",16.718
"222","1970","Austria",21.2897
"223","1971","Austria",16.8201
"224","1972","Austria",17.2876
"225","1973","Austria",19.2092
"226","1974","Austria",22.7122
"227","1975","Austria",23.7952
"228","1976","Austria",20.5656
"229","1977","Austria",24.9208
"230","1978","Austria",24.9408
"231","1979","Austria",28.0968
"232","1980","Austria",29.1099
"233","1981","Austria",30.8473
"234","1982","Austria",30.8963
"235","1983","Austria",30.6063
"236","1984","Austria",26.849564
"237","1985","Austria",30.775146
"238","1986","Austria",30.903927
"239","1987","Austria",35.387991
"240","1988","Austria",35.304088
"241","1989","Austria",35.08243
"242","1990","Austria",31.509
"243","1991","Austria",31.4434
"244","1992","Austria",34.8484
"245","1993","Austria",36.705556
"246","1994","Austria",35.7075
"247","1995","Austria",37.067222
"248","1996","Austria",34.216111
"249","1997","Austria",36.105278
"250","1998","Austria",37.163333
"251","1999","Austria",40.6991208
"252","2000","Austria",41.83565055045
"253","2001","Austria",40.4554816503302
"254","2002","Austria",40.2270028091333
"255","2003","Austria",33.214992039975
"256","2004","Austria",36.762283
"257","2005","Austria",37.0951383370445
"258","2006","Austria",35.6560847696384
"259","2007","Austria",37.0544528638766
"260","2008","Austria",38.3294910423621
"261","2009","Austria",40.8963033646974
