,country,parentName,ISO3,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Afghanistan,Southern Asia,AFG,0.02,0.12,3.7,24.88,,9.35,10.16,14.79,15.19,9.39,34.8,27.71,59.9,256.32,6.59,4.6,0.84
1,Liechtenstein,Western Europe,LIE,,,,,,,,,,,,,,,,,
2,Albania,Southern Europe,ALB,,,,,,,,,,,,,,,,,
3,Lithuania,Northern Europe,LTU,,,,,,,,,,,,,,,,,
4,Antarctica,World,ATA,,,,,,,,,,,,,,,,,
5,Luxembourg,Western Europe,LUX,,,,,,,,,,,,,,,,,
6,Algeria,Northern Africa,DZA,,0.78,0.29,0.09,0.13,0.15,,,,2.07,0.39,0.0,0.94,0.94,0.93,0.88,0.16
7,"China, Macao Special Administrative Region",Eastern Asia,MAC,,,,,,,,,,,,,,,,,
8,Madagascar,Eastern Africa,MDG,,,0.01,,8.0,3.02,6.86,8.2,2.55,,,7.07,0.05,2.66,13.58,5.07,21.42
9,American Samoa,Polynesia,ASM,,,,,,,,,,,,,,,,,
10,Malawi,Eastern Africa,MWI,6.54,,,0.51,0.06,0.06,0.05,0.06,,0.07,14.66,2.32,1.66,34.07,1.9,62.94,0.33
11,Andorra,Southern Europe,AND,,,,,,,,,,,,,,,,,
12,Malaysia,South-Eastern Asia,MYS,141.04,,0.02,,0.26,,0.01,0.01,,0.03,0.14,0.06,3.85,0.07,0.16,0.17,1.29
13,Angola,Middle Africa,AGO,,,,0.04,0.04,,,0.72,,,0.02,0.21,0.01,,,0.01,90.15
14,Antigua and Barbuda,Caribbean,ATG,,,,,,,,,,,,,,2.48,,6.7,
15,Azerbaijan,Western Asia,AZE,4.62,,,,,2.14,0.46,,,0.16,179.56,0.02,,,0.02,74.68,0.01
16,Argentina,South America,ARG,,3.72,,0.05,39.28,0.26,0.41,0.34,21.97,37.43,0.98,66.41,243.57,45.98,4401.81,589.08,240.02
17,Australia,Australia and New Zealand,AUS,,,,,,,,,,,,,,,,,
18,Austria,Western Europe,AUT,,,,,,,,,,,,,,,,,
19,Bahamas,Caribbean,BHS,,,,,,,,,,,,,,,,,
20,Bahrain,Western Asia,BHR,,,,,,,,,,,,,,,,,
21,Bangladesh,Southern Asia,BGD,2.83,,30.93,44.82,16.47,37.28,0.02,47.81,0.01,26.5,0.18,226.99,143.1,112.61,86.81,7.25,336.46
22,Armenia,Western Asia,ARM,,7.19,0.05,2.67,9.69,2.93,5.66,1.48,0.09,0.43,86.83,0.92,47.46,24.86,8.99,22.36,113.14
23,Barbados,Caribbean,BRB,,,,,,,,,,,,,,,,0.07,8.5
24,Belgium,Western Europe,BEL,,,,,,,,,,,,,,,,,
25,Bermuda,Northern America,BMU,,,,,,,,,,,,,,,,,
26,Bhutan,Southern Asia,BTN,4.61,2.35,24.36,,,1.24,0.11,0.79,4.05,79.47,21.93,0.08,3.34,35.5,1.9,121.3,0.05
27,Bolivia (Plurinational State of),South America,BOL,0.08,0.74,0.07,15.37,0.04,0.13,0.41,0.39,0.8,96.3,5.26,1.32,4.69,67.18,37.71,1.88,1150.27
28,Bosnia and Herzegovina,Southern Europe,BIH,,,,,,,,,,,,,,,,,
29,Botswana,Southern Africa,BWA,0.03,,,,0.04,0.02,0.06,0.01,,6.46,10.25,0.08,0.47,,2.45,,0.01
30,Bouvet Island,South America,BVT,,,,,,,,,,,,,,,,,
31,Brazil,South America,BRA,121.83,5.0,32.02,7.22,1.07,11.23,1.14,0.86,18.36,164.79,135.86,167.35,232.65,146.66,463.58,2.17,154.17
32,Belize,Central America,BLZ,,,,,,,,,,4.66,,,,,,0.02,1.6
33,British Indian Ocean Territory,Eastern Africa,IOT,,,,,,,,,,,,,,,,,
34,Solomon Islands,Melanesia,SLB,,,,,,,,,0.08,0.08,,0.01,1.06,0.01,12.6,6.64,6.65
35,British Virgin Islands,Caribbean,VGB,,,,,,,,,,,,,,,,,
36,Brunei Darussalam,South-Eastern Asia,BRN,,,,,,,,,,,,,,,,,
37,Bulgaria,Eastern Europe,BGR,,,,,,,,,,,,,,,,,
38,Myanmar,South-Eastern Asia,MMR,,,5.35,413.46,0.07,,,,,,0.09,,0.01,64.01,10.57,55.67,3.73
39,Burundi,Eastern Africa,BDI,,,,,,,,,0.01,0.08,13.0,0.01,5.74,92.93,134.95,2.39,0.05
40,Belarus,Eastern Europe,BLR,,,,,,,,,,,,,,,,,
41,Cambodia,South-Eastern Asia,KHM,,,42.35,4.44,540.84,1.24,10.29,580.47,62.73,3.75,646.86,1.07,0.68,490.47,0.39,7.92,150.27
42,Cameroon,Middle Africa,CMR,,,0.01,0.01,0.02,,32.76,,0.46,0.14,51.26,0.04,828.8,0.02,9.92,1.98,74.28
43,Canada,Northern America,CAN,,,,,,,,,,,,,,,,,
44,Cabo Verde,Western Africa,CPV,,2.52,,,,0.02,,,0.42,0.17,65.34,13.41,15.54,14.81,6.76,2.97,7.62
45,Cayman Islands,Caribbean,CYM,,,,,,,,,,,,,,,,,
46,Central African Republic,Middle Africa,CAF,,,,,,,0.0,,,4.02,,,,,0.0,3.81,0.0
47,Sri Lanka,Southern Asia,LKA,1.53,3.75,383.91,0.04,0.13,23.74,0.09,36.61,0.11,11.66,44.43,6.8,214.17,2.26,115.14,0.43,58.76
48,Chad,Middle Africa,TCD,,5.55,,,,,,24.47,,,,0.0,,0.03,0.02,0.02,39.65
49,Chile,South America,CHL,0.43,0.14,0.03,0.07,2.67,0.18,0.1,9.55,61.37,52.98,3.06,64.85,953.33,1285.84,793.27,104.49,211.94
50,China,Eastern Asia,CHN,234.46,322.3,216.86,21.37,31.22,148.66,99.64,23.73,105.86,56.14,74.39,41.21,96.57,290.17,220.42,88.49,1213.8
51,Christmas Island,Australia and New Zealand,CXR,,,,,,,,,,,,,,,,,
52,Cocos (Keeling) Islands,Australia and New Zealand,CCK,,,,,,,,,,,,,,,,,
53,Colombia,South America,COL,,,0.08,0.01,,214.31,1.84,0.75,1.07,0.01,3.32,0.74,1.78,0.31,52.26,21.84,1395.3
54,Comoros,Eastern Africa,COM,,,,,,,,,,,,,0.3,0.02,0.12,0.96,0.01
55,Mayotte,Eastern Africa,MYT,,,,,,,,,,,,,,,,,
