,country,num_business_2018,renew_ratio_2017,gdp_2017,gdp_2018,population_2017,population_2018,gdp_per_capita_2017,gdp_per_capita_2018,renew_ratio_2018,debt_gdp_ratio_2017,debt_gdp_ratio_2018
0,Algeria,144450,0.002467040265930766,167555280113.181,180689115940.685,41389198.0,42228429.0,4048.2852582256123,4278.850059534182,0.002914578788431103,0.27454999999999996,0.32881
1,Argentina,1859058,0.11756809306040834,642695864756.35,518475134084.357,44044811.0,44494502.0,14591.863381054127,11652.56628974872,0.12145037651353563,0.57576,0.6270399999999999
2,Australia,2136451,0.06326768613636033,1330803227996.08,1432195178668.32,24601860.0,24992369.0,54093.60219089451,57305.29901620451,0.07718410698685317,0.40806999999999993,0.40513000000000005
3,Austria,552826,0.32500904341766984,416835975862.194,455736580716.185,8797566.0,8847037.0,47380.82963653742,51512.905475153435,0.3228694906868033,0.7855,0.74237
4,Azerbaijan,827,0.030029048963668994,40865558912.3867,46939529411.7647,9854033.0,9942334.0,4147.089715691707,4721.1780867314155,0.03109314505823333,0.54084,0.48350000000000004
5,Bangladesh,4487,0.0090048795970025,249723862487.361,274024958965.892,159670593.0,161356039.0,1563.9940817866254,1698.2628023354737,0.007597428364522445,0.33098,0.3336
6,Belarus,196436,0.006761504754767125,54726595249.1849,59662495092.2654,9498264.0,9485386.0,5761.747120230065,6289.938553082121,0.0075644784387155035,0.53437,0.55923
7,Belgium,1739749,0.05588030868682326,494901708704.269,531766935070.733,11375158.0,11422068.0,43507.23820313256,46556.09956714782,0.06241437222279166,1.03423,1.01195
8,Brazil,16880966,0.3595744318303504,2053594973992.61,1868626087908.48,207833831.0,209469333.0,9880.946543263257,8920.762104629797,0.3755369043533746,0.83973,0.8844299999999999
9,Canada,1606339,0.2898964519495502,1646867220617.47,1712510030034.05,36540268.0,37058856.0,45069.92725443256,46210.547622788195,0.28529630777391146,0.89727,0.87262
10,Chile,767894,0.21188622819649036,277746457909.868,298231139609.448,18470439.0,18729160.0,15037.35010899676,15923.359061989326,0.2189050354270872,0.23596999999999999,0.24759
11,China,20153473,0.11984774707933375,12143491448186.1,13608151864637.9,1386395000.0,1392730000.0,8759.041577751,9770.847087833177,0.12732334003334156,0.4696,0.50104
12,Colombia,2006082,0.29627282408503697,311789874617.096,330227866233.324,48901066.0,49648685.0,6375.932062853109,6651.29129267621,0.2845578093290212,0.49354,0.48695
13,Croatia,130289,0.19924167426662925,55201417479.3925,60805659436.216,4124531.0,4089400.0,13383.683497443104,14869.090682304495,0.2535908777338752,0.77847,0.74249
14,Cyprus,16759,0.0351806452749841,22141864998.8731,24469841831.9169,1179680.0,1189265.0,18769.382373926066,20575.600755018353,0.03769560538139957,0.97454,1.1230200000000001
15,Czech Republic,1290084,0.05215814527378743,215913545038.43,245225882903.37,10594438.0,10625695.0,20379.896039641742,23078.573486569112,0.0500205356653751,0.34669000000000005,0.33165999999999995
16,Denmark,469389,0.28842910167673336,329865553842.833,352058410508.345,5764980.0,5797446.0,57218.854851679105,60726.46653515099,0.2798663613209077,0.35294000000000003,0.34739000000000003
17,Ecuador,97731,0.2813874305686309,104295862000.0,108398058000.0,16785361.0,17084357.0,6213.501276499207,6344.871978500566,0.2738597288809569,0.45363,0.48373999999999995
18,Egypt,3421,0.03952495050985905,235369129337.711,250895469644.498,96442593.0,98423595.0,2440.5101731110753,2549.1394583229558,0.040732608864110564,1.0304,0.92519
19,United Kingdom,2438144,0.11636542659973545,2637866340434.13,2825207947502.9,66058859.0,66488991.0,39932.06029238455,42491.36443509723,0.13075437356896422,0.8752500000000001,0.8737999999999999
20,Estonia,120851,0.06994563359886992,26611651598.9453,30284890757.0585,1317384.0,1320884.0,20200.37559204097,22927.74441741932,0.0665943823083224,0.0898,0.08802
21,Finland,577895,0.2537551154637389,252331136734.129,273960969999.218,5508214.0,5518050.0,45809.973384136676,49648.149255483004,0.2490883028888695,0.61332,0.60516
22,France,3580305,0.0866245170919702,2586285406561.51,2777535239277.98,66865144.0,66987244.0,38679.12714824198,41463.644022703484,0.10386229180814664,0.96801,0.9668799999999999
23,Germany,3850260,0.14666484635796512,3693204332229.78,3996759291057.81,82657002.0,82927922.0,44681.08258063582,48195.57990441157,0.1580034731178811,0.63852,0.5978600000000001
24,Greece,84533,0.11153484394799358,203085551429.132,218031844583.994,10754679.0,10727668.0,18883.460066928263,20324.25356414777,0.12888637894884106,1.8177900000000002,1.8806400000000003
25,Hungary,1007039,0.03334469949231265,139761138102.757,155703069815.638,9787966.0,9768785.0,14278.874497802402,15938.836796555355,0.03615647317690511,0.7358,0.7127
26,Iceland,11864,0.7975186837908861,24489493459.0074,25882218777.4084,343400.0,353574.0,71314.77419629412,73201.70254998501,0.8009237229487858,0.39958,0.37022
27,India,4907591,0.06999631224106095,2652551202555.27,2726322616821.31,1338658835.0,1352617328.0,1981.4990445681929,2015.5904854867497,0.07320694586012215,0.7117600000000001,0.69554
28,Indonesia,50035,0.0410642553565972,1015423455783.28,1042173300625.55,264645886.0,267663435.0,3836.913813892728,3893.5960775723815,0.038096757646414486,0.28768,0.2983
29,Iraq,3305,0.010775629435946798,193158783783.784,225914183047.981,37552781.0,38433600.0,5143.66123200793,5878.038566462184,0.013380264373166265,0.59726,0.51771
30,Ireland,307435,0.12819529158905602,334834010485.56,382487490532.479,4807388.0,4853506.0,69649.88273997439,78806.43199626806,0.1455142376564824,0.6855500000000001,0.66577
31,Israel,206144,0.01627447187953799,353268411918.577,369690436162.433,8713300.0,8883800.0,40543.584166570305,41613.998082175756,0.01798551908079761,0.60928,0.61494
32,Italy,6169409,0.14802617841864169,1946570340341.13,2073901988878.23,60536709.0,60431283.0,32155.20586593384,34318.35112417239,0.16414754771759266,1.31808,1.30281
33,Japan,4807393,0.08868136550546289,4859950558538.97,4970915556638.88,126785797.0,126529100.0,38331.979397810384,39286.73764880079,0.09640480571822338,2.3764700000000003,2.38225
34,Kazakhstan,438630,0.03899502438019496,162886867831.694,170538870248.194,18037776.0,18276499.0,9030.31880602653,9331.04694986682,0.032685360107147884,0.20792,0.17798999999999998
35,Korea,2477178,0.015531588746735872,1530750923148.7,1619423701169.63,51466201.0,51635256.0,29742.83886134708,31362.75147293992,0.018688241432373943,0.39529000000000003,0.4036
36,Kuwait,7308,0.000617476363922808,119551599076.822,141677814569.536,4056097.0,4137309.0,29474.541431534308,34243.95290985904,0.0006133680279593847,0.20584,0.18792999999999999
37,Latvia,155852,0.2992300142264288,30463302413.7289,34849078085.6672,1942248.0,1926542.0,15684.558518648957,18088.927251867437,0.2171151370159584,0.36315,0.35005000000000003
38,Lithuania,70823,0.09771049157546516,47544459558.9514,53251369047.3762,2828403.0,2789533.0,16809.64825696741,19089.707505656395,0.08309013581607097,0.39734,0.36955999999999994
39,Luxembourg,150919,0.035733012975666265,62316359824.1281,69487922619.3401,596336.0,607728.0,104498.73867103126,114340.49874177281,0.04231591309943576,0.22949999999999998,0.22804000000000002
40,Malaysia,10801,0.057346096961216925,314707268049.991,354348422831.193,31105028.0,31528585.0,10117.56903256898,11238.957372530134,0.05867045998938216,0.5412300000000001,0.5510100000000001
41,Mexico,218983,0.061103408924820725,1158071006809.62,1223808885585.61,124777324.0,126190788.0,9281.101482907425,9698.084186506627,0.06523871222494088,0.54332,0.53815
42,Morocco,482498,0.05244661829071212,109708728848.535,118495328198.08,35581294.0,36029138.0,3083.32599844556,3288.874915577497,0.06996106341653255,0.65132,0.6441199999999999
43,Netherlands,1335984,0.04668151107736835,831809944960.879,913658465709.125,17131296.0,17231017.0,48554.99227617566,53024.05921305312,0.0499020047659804,0.5645,0.53099
44,New Zealand,316172,0.3668721834516805,202590814084.991,205024937871.546,4793900.0,4885500.0,42260.12517678529,41966.00918463739,0.3841010034354297,0.31695999999999996,0.30357
45,Norway,835971,0.6920406719391128,399488897844.046,434750937596.065,5276968.0,5314336.0,75704.24869812476,81807.19803867595,0.683993413579365,0.36461999999999994,0.36358
46,Oman,5628,6.717923489912615e-05,70783875162.5488,79294928478.5436,4665935.0,4829483.0,15170.351743551677,16418.926928315846,0.00010114937166762889,0.46903,0.48698
47,Pakistan,4086,0.09638429498100247,304951818494.066,312570060548.453,207896686.0,212215030.0,1466.8430957772264,1472.8931336694343,0.11088368533451398,0.66962,0.7253499999999999
48,Peru,1022275,0.27742275957840923,210702303186.432,222237570741.8,31444297.0,31989256.0,6700.811380404911,6947.256627093796,0.2833705158929244,0.25429,0.26389
49,Philippines,190051,0.11497861157274425,313619747740.186,330910343610.956,105173264.0,106651922.0,2981.9341514416246,3102.713363299313,0.11242455010136576,0.39970999999999995,0.39786
50,Poland,4882507,0.052804505140615035,526371021088.561,585782872331.589,37974826.0,37978548.0,13861.051557907362,15424.046025445443,0.04616852121532331,0.50622,0.49988
51,Portugal,708245,0.1985376295624043,219308126633.628,237978938135.341,10300300.0,10281762.0,21291.430990711728,23145.73495625954,0.2571718327929285,1.25682,1.20825
52,Qatar,5684,0.0005738417805515928,166928571428.571,192009340659.341,2724724.0,2781677.0,61264.39647779776,69026.46880257521,0.0005810102105996171,0.53767,0.53402
