Country Name,Number of Businesses,,,,,,
Afghanistan,"1,943",,,,,,
Albania,"2,601",,,,,,
Algeria,"144,450",,,,,,
Andorra,174,,,,,,
Angola,651,,,,,,
Anguilla,86,,,,,,
Antigua & Barbuda,101,,,,,,
Argentina,"1,859,058",,,,,,
Armenia,715,,,,,,
Aruba,319,,,,,,
Australia,"2,136,451",,,,,,
Austria,"552,826",,,,,,
Azerbaijan,827,,,,,,
Bahamas,692,,,,,,
Bahrain,"42,719",,,,,,
Bangladesh,"4,487",,,,,,
Barbados,490,,,,,,
Belarus,"196,436",,,,,,
Belgium,"1,739,749",,,,,,
Belize,"1,014",,,,,,
Benin,442,,,,,,
Bermuda,"1,411",,,,,,
Bhutan,98,,,,,,
Bolivia,"1,363",,,,,,
Bosnia-herzegovina,"33,432",,,,,,
Botswana,"3,521",,,,,,
Brazil,"16,880,966",,,,,,
Brunei,124,,,,,,
Bulgaria,"472,626",,,,,,
Burkina Faso,246,,,,,,
Burundi,85,,,,,,
Cambodia,743,,,,,,
Cameroon,825,,,,,,
Canada,"1,606,339",,,,,,
Cape Verde,80,,,,,,
Cayman Islands,"3,245",,,,,,
Central African Rep,29,,,,,,
Chad,126,,,,,,
Chile,"767,894",,,,,,
China,"20,153,473",,,,,,
Colombia,"2,006,082",,,,,,
Comoros,114,,,,,,
Congo,184,,,,,,
Congo Democratic Rep,826,,,,,,
Cook Islands,50,,,,,,
Costa Rica,"3,647",,,,,,
Croatia,"130,289",,,,,,
Cyprus,"16,759",,,,,,
Czech Republic,"1,290,084",,,,,,
Denmark,"469,389",,,,,,
Djibouti,221,,,,,,
Dominica,57,,,,,,
Dominican Republic,"118,604",,,,,,
Ecuador,"97,731",,,,,,
Egypt,"3,421",,,,,,
El Salvador,"1,440",,,,,,
England,"2,438,144",,,,,,
Equatorial Guinea,38,,,,,,
Eritrea,13,,,,,,
Estonia,"120,851",,,,,,
Ethiopia,679,,,,,,
Falkland Islands,40,,,,,,
Faroe Islands,"1,078",,,,,,
Fiji,430,,,,,,
Finland,"577,895",,,,,,
France,"3,580,305",,,,,,
French Guiana,"12,597",,,,,,
French Polynesia,347,,,,,,
Gabon,201,,,,,,
Gambia,134,,,,,,
Georgia,"1,269",,,,,,
Germany,"3,850,260",,,,,,
Ghana,"1,635",,,,,,
Gibraltar,248,,,,,,
Greece,"84,533",,,,,,
Greenland,"8,285",,,,,,
Grenada,54,,,,,,
Guadeloupe,"47,666",,,,,,
Guam,"1,008",,,,,,
Guatemala,"139,937",,,,,,
Guinea,147,,,,,,
Guinea-bissau,34,,,,,,
Guyana,212,,,,,,
Haiti,435,,,,,,
Honduras,"1,326",,,,,,
Hong Kong,"235,983",,,,,,
Hungary,"1,007,039",,,,,,
Iceland,"11,864",,,,,,
India,"4,907,591",,,,,,
Indonesia,"50,035",,,,,,
Iran,"14,129",,,,,,
Iraq,"3,305",,,,,,
Ireland,"307,435",,,,,,
Israel,"206,144",,,,,,
Italy,"6,169,409",,,,,,
Ivory Coast,841,,,,,,
Jamaica,820,,,,,,
Japan,"4,807,393",,,,,,
Jordan,"11,161",,,,,,
Kazakhstan,"438,630",,,,,,
Kenya,"2,772",,,,,,
Kiribati,9,,,,,,
Korea Rep Of,"2,477,178",,,,,,
Kuwait,"7,308",,,,,,
Kyrgyzstan,"105,780",,,,,,
Laos,11,,,,,,
Latvia,"155,852",,,,,,
Lebanon,"9,727",,,,,,
Lesotho,431,,,,,,
Liberia,389,,,,,,
Libya,301,,,,,,
Liechtenstein,"9,546",,,,,,
Lithuania,"70,823",,,,,,
Luxembourg,"150,919",,,,,,
Macao,"9,920",,,,,,
Macedonia,"3,879",,,,,,
Madagascar,287,,,,,,
Malawi,538,,,,,,
Malaysia,"10,801",,,,,,
Maldives,262,,,,,,
Mali,223,,,,,,
Malta,"3,064",,,,,,
Martinique,"38,272",,,,,,
Mauritania,155,,,,,,
Mauritius,"13,225",,,,,,
Mexico,"218,983",,,,,,
Micronesia Fed St,79,,,,,,
Moldova,"101,738",,,,,,
Monaco,310,,,,,,
Montserrat,7,,,,,,
Morocco,"482,498",,,,,,
Mozambique,807,,,,,,
Myanmar,52,,,,,,
Namibia,"4,781",,,,,,
Nauru,5,,,,,,
Nepal,"1,192",,,,,,
Netherlands,"1,335,984",,,,,,
New Zealand,"316,172",,,,,,
Nicaragua,811,,,,,,
Niger,170,,,,,,
Nigeria,"6,372",,,,,,
Norfolk Island,1,,,,,,
Northern Ireland,"55,501",,,,,,
Northern Mariana Is,180,,,,,,
Norway,"835,971",,,,,,
Oman,"5,628",,,,,,
Pakistan,"4,086",,,,,,
Panama,"3,619",,,,,,
Papua New Guinea,542,,,,,,
Paraguay,"1,275",,,,,,
Peru,"1,022,275",,,,,,
Philippines,"190,051",,,,,,
Poland,"4,882,507",,,,,,
Portugal,"708,245",,,,,,
Qatar,"5,684",,,,,,
Reunion,"44,819",,,,,,
Romania,"884,287",,,,,,
Russian Federation,"2,965,983",,,,,,
Rwanda,432,,,,,,
San Marino,"3,447",,,,,,
Sao Tome & Principe,18,,,,,,
