code,region
2,Africa
5,South America
9,Oceania
11,Western Africa
13,Central America
14,Eastern Africa
15,Northern Africa
17,Middle Africa
18,Southern Africa
19,Americas
21,Northern America
29,Caribbean
30,Eastern Asia
34,Southern Asia
35,South-Eastern Asia
39,Southern Europe
53,Australia and New Zealand
54,Melanesia
57,Micronesia
61,Polynesia
142,Asia
143,Central Asia
145,Western Asia
150,Europe
151,Eastern Europe
154,Northern Europe
155,Western Europe
202,Sub-Saharan Africa
419,Latin America and the Caribbean
830,Channel Islands
513,Northern America and Europe
62,Central Asia and Southern Asia
753,Eastern Asia and South-eastern Asia
747,Northern Africa and Western Asia
543,Oceania (exc. Australia and New Zealand)
432,Landlocked developing countries (LLDCs)
199,Least Developed Countries (LDCs)
722,Small island developing States (SIDS)
135,Caucasus and Central Asia (MDG)
514,Developed regions (MDG)
518,Eastern Asia (MDG)
746,Northern Africa (exc. Sudan)
738,Sub-Saharan Africa (inc. Sudan)
485,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)"
515,Developing regions (MDG)
198,Least Developed Regions
197,Less Developed Regions
64,South-Central Asia
